店舗名,電話番号,メールアドレス,都道府県,市区町村:,番地:,建物名:,URL:,SSL
くいもの屋わん池袋西口公園前店,050-5485-6398,,東京都,豊島区西池袋,1-10-8,サングロウビル4F,https://r.gnavi.co.jp/p864034/,False
樽虎,050-5488-5582,,東京都,台東区上野,4-8-9,OAKビル5F,https://r.gnavi.co.jp/dhpxwcry0000/,False
カジュアル鉄板 伊達,050-5487-3701,,東京都,千代田区丸の内,1-9-1,東京駅一番街2F,https://r.gnavi.co.jp/p2cbxryf0000/,False
全席個室 鮮や一夜八重洲店,050-5484-0403,,東京都,中央区日本橋,3-2-16,マスヤビル6F,https://r.gnavi.co.jp/gak5844/,False
銀座ライオン新宿エルタワー店,050-5485-6090,,東京都,新宿区西新宿,1-6-1,新宿エルタワーB2F,https://r.gnavi.co.jp/g112500/,False
大衆居酒屋 とりいちず 有楽町店,03-3286-5013,,東京都,千代田区丸の内,3-7-8,,https://r.gnavi.co.jp/be2zhv140000/,False
鳥元八丁堀店,050-5486-4037,,東京都,中央区八丁堀,2-26-9,グランデビル1F,https://r.gnavi.co.jp/g853122/,False
